"Index","RealEstate.Close"
2006-06-27,359.56
2006-06-28,357.4
2006-06-29,365.23
2006-06-30,374.34
2006-07-03,381.84
2006-07-04,382.04
2006-07-05,384.27
2006-07-06,376.26
2006-07-07,376.53
2006-07-10,370.72
2006-07-11,367.83
2006-07-12,365.36
2006-07-13,362.4
2006-07-14,356.9
2006-07-17,350.02
2006-07-18,351.62
2006-07-19,355.38
2006-07-20,362.84
2006-07-21,364.84
2006-07-24,364.48
2006-07-25,365.01
2006-07-26,366.7
2006-07-27,370.43
2006-07-28,369.62
2006-07-31,368.34
2006-08-01,366.32
2006-08-02,363.55
2006-08-03,367.73
2006-08-04,375.13
2006-08-07,376.92
2006-08-08,378.56
2006-08-10,380.04
2006-08-11,382.11
2006-08-14,387.91
2006-08-15,391.12
2006-08-16,394.4
2006-08-17,401.34
2006-08-18,404.65
2006-08-21,412.38
2006-08-22,408.37
2006-08-23,412.73
2006-08-24,412.55
2006-08-25,411.39
2006-08-28,414.83
2006-08-29,421.14
2006-08-30,421.95
2006-08-31,415.11
2006-09-01,407.55
2006-09-04,404.1
2006-09-05,398.59
2006-09-06,396.86
2006-09-07,395.3
2006-09-08,396.09
2006-09-11,392.68
2006-09-12,395.68
2006-09-13,398.16
2006-09-14,396.17
2006-09-15,396.25
2006-09-18,398.73
2006-09-19,403.75
2006-09-20,407.96
2006-09-21,410.95
2006-09-22,409.89
2006-09-26,411
2006-09-27,412.99
2006-09-28,411.09
2006-09-29,408.87
2006-10-02,408.1
2006-10-03,403.68
2006-10-04,397.6
2006-10-05,400.27
2006-10-06,402.45
2006-10-09,406.95
2006-10-10,406.67
2006-10-11,405.49
2006-10-12,411.3
2006-10-13,416.52
2006-10-16,419.43
2006-10-17,419.23
2006-10-18,421.09
2006-10-19,422.02
2006-10-20,421.75
2006-10-23,423.82
2006-10-24,425.01
2006-10-25,425.08
2006-10-26,429.61
2006-10-27,430.4
2006-10-30,438.3
2006-10-31,449.39
2006-11-01,453.88
2006-11-02,452.29
2006-11-03,455.06
2006-11-06,455.29
2006-11-07,460.7
2006-11-08,459.55
2006-11-09,461.81
2006-11-10,462.8
2006-11-13,463.77
2006-11-14,463.05
2006-11-15,465.23
2006-11-16,465.18
2006-11-17,467.24
2006-11-20,464.95
2006-11-21,467.31
2006-11-22,467.97
2006-11-23,466.81
2006-11-24,470.63
2006-11-27,470.65
2006-11-28,470.01
2006-11-29,471.12
2006-11-30,472.97
2006-12-01,471.14
2006-12-04,470.34
2006-12-05,471.02
2006-12-06,471.29
2006-12-07,473.49
2006-12-08,469.96
2006-12-11,468.43
2006-12-12,467.94
2006-12-13,469.27
2006-12-14,474.44
2006-12-15,478.08
2006-12-18,479.25
2006-12-19,477.6
2006-12-20,479.08
2006-12-21,479.41
2006-12-22,481.76
2006-12-27,484.34
2006-12-28,487.64
2006-12-29,486.75
2007-01-02,483.91
2007-01-03,484.65
2007-01-04,484.6
2007-01-05,483.38
2007-01-08,487.28
2007-01-09,489.09
2007-01-10,490.72
2007-01-11,496.97
2007-01-12,502.78
2007-01-15,504.44
2007-01-16,506.32
2007-01-17,510.19
2007-01-18,511.71
2007-01-19,513.48
2007-01-22,516.78
2007-01-23,515.28
2007-01-24,515.68
2007-01-25,517.86
2007-01-26,519.37
2007-01-29,523.95
2007-01-30,523.64
2007-01-31,528.02
2007-02-01,531.21
2007-02-02,529.16
2007-02-05,528.57
2007-02-06,532.06
2007-02-07,531.5
2007-02-08,530.99
2007-02-09,531.74
2007-02-12,532.92
2007-02-13,533.1
2007-02-14,532.8
2007-02-15,535.93
2007-02-16,539.47
2007-02-19,541.33
2007-02-20,542.05
2007-02-21,545.3
2007-02-22,554.16
2007-02-23,558.35
2007-02-26,565.74
2007-02-27,556.24
2007-02-28,545.84
2007-03-01,538.04
2007-03-02,536.2
2007-03-05,528.66
2007-03-06,533.34
2007-03-07,538.82
2007-03-08,544.95
2007-03-09,544.82
2007-03-12,550.25
2007-03-13,551.47
2007-03-14,543.86
2007-03-15,545.75
2007-03-16,541.42
2007-03-19,541
2007-03-20,543.96
2007-03-21,543.96
2007-03-22,550
2007-03-23,556.69
2007-03-26,558.57
2007-03-27,560.23
2007-03-28,558.9
2007-03-29,559.88
